"Алгебра логики-два (2 задача, от простых к сложным)",https://2.shkolkovo.online/courses/5/1283/11034
Задача 15: решаем ваши задачи,https://2.shkolkovo.online/courses/5/1283/11024
"Алгебра логики-раз (с нуля, операции, таблицы истинности, законы преобразования лог.выражений)",https://2.shkolkovo.online/courses/5/1283/11014
Задача 15 с побитовой конъюнкцией и ДЕЛ (Нужно знать: метод ДВ),https://2.shkolkovo.online/courses/5/1283/11004
"Алгебра логики-три (15 задача, введение в метод друзей-врагов)",https://2.shkolkovo.online/courses/5/1283/10994
Задача 15 с отрезками и множествами (Нужно знать: метод ДВ),https://2.shkolkovo.online/courses/5/1283/10984
Задача 15 с неравенствами (Нужно знать: метод ДВ),https://2.shkolkovo.online/courses/5/1283/10964
"Алгебра логики-раз (с нуля, операции, таблицы истинности, законы преобразования лог.выражений)",https://2.shkolkovo.online/courses/5/1283/10954
Задание 15 (прогой),https://2.shkolkovo.online/courses/5/1364
Задачи 2 и 15: как запрогать алгебру логики?,https://2.shkolkovo.online/courses/5/1364/11082
Задачи 2 и 15: как запрогать алгебру логики?,https://2.shkolkovo.online/courses/5/1364/11003
Задание 14,https://2.shkolkovo.online/courses/5/1282
"Нарешиваем 5,14 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1282/11090
"Нарешиваем 5,14 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1282/11070
"Нарешиваем 5,14 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1282/11051
"Нарешиваем 5,14 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1282/11031
"Нарешиваем 5,14 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1282/11011
"Нарешиваем 5,14 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1282/10991
"Нарешиваем 5,14 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1282/10971
Задача 14: как запрогать системы счисления?,https://2.shkolkovo.online/courses/5/1282/10963
"Нарешиваем 5,14 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1282/10951
Задание 13,https://2.shkolkovo.online/courses/5/1281
Разбор ВСЕХ методов решения ЧЕРЕПАШКИ из 6 Задания КЕГЭ по Информатике,https://2.shkolkovo.online/courses/5/1281/11080
"Нарешиваем 1, 4, 10, 13 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1281/11001
"Нарешиваем 1, 4, 10, 13 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1281/10961
Задание 12,https://2.shkolkovo.online/courses/5/1280
"Нарешиваем 6, 12, 22 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1280/11100
"Нарешиваем 6, 12, 22 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1280/11061
"Нарешиваем 6, 12, 22 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1280/11021
Строки в программировании. Задача 12 и введение в 24,https://2.shkolkovo.online/courses/5/1280/10993
"Нарешиваем 6, 12, 22 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1280/10981
Задание 11,https://2.shkolkovo.online/courses/5/1279
Кодирование-четыре (вебинар-загадка: СКОЛЬКО? на размышление дается 30 сек),https://2.shkolkovo.online/courses/5/1279/11096
"Кодирование-три (11 задачи: автомобили, спортсмены, пароли)",https://2.shkolkovo.online/courses/5/1279/11076
Кодирование-четыре (вебинар-загадка: СКОЛЬКО? на размышление дается 30 сек),https://2.shkolkovo.online/courses/5/1279/11017
"Кодирование-три (11 задачи: автомобили, спортсмены, пароли)",https://2.shkolkovo.online/courses/5/1279/10997
"Кодирование-раз (основные формулы: алфавит, 2^x, биты-байты-кб)",https://2.shkolkovo.online/courses/5/1279/10957
Задание 10,https://2.shkolkovo.online/courses/5/1278
Разбор ВСЕХ методов решения ЧЕРЕПАШКИ из 6 Задания КЕГЭ по Информатике,https://2.shkolkovo.online/courses/5/1278/11080
"Нарешиваем 1, 4, 10, 13 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1278/11001
"Нарешиваем 1, 4, 10, 13 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1278/10961
Задание 9,https://2.shkolkovo.online/courses/5/1277
"Эксель: движение по таблице, формулы. Задача 9",https://2.shkolkovo.online/courses/5/1277/11068
"Эксель: движение по таблице, формулы. Задача 9",https://2.shkolkovo.online/courses/5/1277/11028
"Эксель: движение по таблице, формулы. Задача 9",https://2.shkolkovo.online/courses/5/1277/10988
"Эксель: движение по таблице, формулы. Задача 9",https://2.shkolkovo.online/courses/5/1277/10948
Задание 8,https://2.shkolkovo.online/courses/5/1276
Комбинаторика-четыре (решаем ваши 8 задачи),https://2.shkolkovo.online/courses/5/1276/11086
"Комбинаторика-три (Формулы для C_n_k, треугольник паскаля, бином Ньютона)",https://2.shkolkovo.online/courses/5/1276/11067
"Комбинаторика-два (пополам, факториал, размещения, сочетания. Средние 8)",https://2.shkolkovo.online/courses/5/1276/11047
"Комбинаторика-раз (принцип плюс-минус один, сложение, умножение. Простые 8)",https://2.shkolkovo.online/courses/5/1276/11027
Комбинаторика-четыре (решаем ваши 8 задачи),https://2.shkolkovo.online/courses/5/1276/11007
"Комбинаторика-три (Формулы для C_n_k, треугольник паскаля, бином Ньютона)",https://2.shkolkovo.online/courses/5/1276/10987
"Комбинаторика-два (пополам, факториал, размещения, сочетания. Средние 8)",https://2.shkolkovo.online/courses/5/1276/10967
"Комбинаторика-раз (принцип плюс-минус один, сложение, умножение. Простые 8)",https://2.shkolkovo.online/courses/5/1276/10947
Задание 7,https://2.shkolkovo.online/courses/5/1275
Кодирование-четыре (вебинар-загадка: СКОЛЬКО? на размышление дается 30 сек),https://2.shkolkovo.online/courses/5/1275/11096
"Кодирование-раз и два за 1 веб! (7 задачи: изображения, звук, количество спортсменов)",https://2.shkolkovo.online/courses/5/1275/11057
Кодирование-четыре (вебинар-загадка: СКОЛЬКО? на размышление дается 30 сек),https://2.shkolkovo.online/courses/5/1275/11017
"Кодирование-два (7 задачи: изображения, звук, количество спортсменов)",https://2.shkolkovo.online/courses/5/1275/10977
"Кодирование-раз (основные формулы: алфавит, 2^x, биты-байты-кб)",https://2.shkolkovo.online/courses/5/1275/10957
Задание 6,https://2.shkolkovo.online/courses/5/1274
"Нарешиваем 6, 12, 22 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1274/11100
"Нарешиваем 6, 12, 22 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1274/11061
Задача 16. Введение в рекурсию. Переписываем код,https://2.shkolkovo.online/courses/5/1274/11033
"Нарешиваем 6, 12, 22 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1274/11021
"Нарешиваем 6, 12, 22 - мои и ваши задачи (нужно знать: теорию из роликов)",https://2.shkolkovo.online/courses/5/1274/10981
"Задачи 6, 16 и 22: как засунуть прогу в прогу? Учимся переписывать код",https://2.shkolkovo.online/courses/5/1274/10953
